Phylum,Class,Order,Family,Genus,Species,Common_Name,Status,BRO,TOR,SAN,HEN,IUCN_No,Pop_Trend
,조기강,잉어목,잉어과,,끄리,Opsarichthys uncirostris amurensis Berg,N/A,0,1,0,0,N/A,N/A
,조기강,농어목,시클리과,,나일틸라피아,Oreochromis niloticus Linnaeus,N/A,0,0,0,1,N/A,N/A
,조기강,농어목,망둑어과,,날망둑,Chaenogobius castaneus O'Shaughnessy,N/A,0,0,0,1,N/A,N/A
,조기강,농어목,동사리과,,남방동사리,Odontobutis obscura Temminck and Schlegel,N/A,0,0,0,1,N/A,N/A
,조기강,잉어목,미꾸리과,,남방종개,Iksookimia hugowolfeldi Nalbant,N/A,0,0,0,1,N/A,N/A
,조기강,잉어목,잉어과,,납자루,Acheilognathus lanceolatus Temminck and Schlegel,LC,1,1,0,0,63566,de
,조기강,잉어목,잉어과,,납지리,Acheilognathus rhombeus Temminck and Schlegel,N/A,0,1,0,0,N/A,N/A
,조기강,농어목,농어과,,농어,Lateolabrax japonicus Cuvier,N/A,0,0,0,1,N/A,N/A
,조기강,잉어목,잉어과,,누치,Hemibarbus labeo Pallas,N/A,0,0,0,1,N/A,N/A
,조기강,메기목,동자개과,,눈동자개,Pseudobagrus koreanus Uchida,N/A,1,0,0,0,N/A,N/A
,조기강,잉어목,잉어과,,눈불개,Squaliobarbus curriculus Richardson,N/A,0,1,0,0,N/A,N/A
,두갑강,칠성장어목,칠성장어과,,다묵장어 ,Lethenteron reissneri Dybowski,N/A,0,0,0,1,N/A,N/A
,조기강,메기목,동자개과,,대농갱이,Leiocassis ussuriensis Dybowski,LC,0,1,0,0,55286,st
,조기강,잉어목,잉어과,,대두어,Aristichthys nobilis Richardson,LC,0,0,1,0,55185,st
,조기강,동갈치목,송사리과,,대륙송사리,"Oryzias sinensis Chen, Uwa and Chu",LC,1,0,0,1,55290,de
,조기강,잉어목,종개과,,대륙종개,Orthrias nudus Bleeker,LC,0,0,0,1,59060,st
,조기강,잉어목,잉어과,,대황어,Tribolodon brandtii Dybowski,LC,1,0,1,0,59064,st
,조기강,잉어목,잉어과,,돌고기,Pungtungia herzi Herzenstein,CR,0,1,0,1,1095,de
,조기강,잉어목,잉어과,,돌마자,Microphysogobio yaluensis Mori,LC,0,0,0,1,59065,st
,조기강,잉어목,잉어과,,돌상어,Gobiobotia brevibarba Mori,LC,0,1,0,1,59072,st
,조기강,잉어목,미꾸리과,,동방종개,Iksookimia yongdokensis Kim and Park,LC,0,1,0,0,54570,st
,조기강,농어목,동사리과,,동사리,Odontobutis platycephala Iwata and Jeon,EW,0,0,0,1,54583,de
,조기강,메기목,동자개과,,동자개,Pseudobagrus fulvidraco Richardson,NT,0,0,1,0,3179,de
,조기강,잉어목,잉어과,,됭경모치,Microphysogobio jeoni Kim and Yang,LC,0,0,0,1,54777,st
,조기강,잉어목,잉어과,,두우쟁이,Saurogobio dabryi Bleeker,LC,0,0,0,1,54798,st
,조기강,쏨뱅이목,둑중개과,,둑중개,Cottus koreanus Heckel,NT,0,0,0,1,1273,de
